"Name","Phone","Address","Address Line 2","Email","Work Phone","ID","Notes","Sold","Quantity Sold","Date Created"
"Discover Brasil Wholesale ","9083248427","1222 Oak Pl, Union, NJ 07083-7019, United States","","delenaroasado64@hotmail.com","","","Delena e Paulo",0,"","08/29/2022"
"Do Brazil Market ","5083414414","22 Porter St, Stoughton, MA 02072, United States","","","","","Luiza
",0,"","08/29/2022"
"Dominga’s Hair Salon ","5083458147","690 Warren Ave, Brockton, MA 02301-6478, United States","","","","","Rodolfo Cardoso ",0,"","08/29/2022"
"El Valle De La Sultana ","6173896634","716 Broadway, Everett, MA 02148-2057, United States","","stephanie.gafisavendas@gmail.com","","","Victor","1,435.16",1,"08/29/2022"
"El Valle De La Sultana - Somerville","6176299884","290 Broadway, Somerville, MA 02145-2934, United States","","biany.gs@hotmail.com","","","Victor","3,205.73",1,"08/29/2022"
"Emporio Meat Market ","4083047872","158 Belmont St, Worcester, MA 01605-2834, United States","","","","","Vanessa",0,"","08/29/2022"
"Emporium Brazil Store","5083081240","21 Main St, Milford, MA 01757-2609, United States","","","","","Jardel e Jerhani",0,"","08/29/2022"
"Family Meat Market ","6175014052","270 High St, Clinton, MA 01510-2532, United States","","","9783671735","","Ronaldo","583.8",1,"08/29/2022"
"Casa Brasil Worcester","5087965824","247 Lincoln St, Worcester, MA 01605-2139, United States","","fleetmeatmarket@hotmail.com","","","Flaviano ",0,"","08/29/2022"
"Free Boi Market ","8572429561","179 President Ave, Fall River, MA 02720-2633, United States","","freeboimarket@gmail.com","7742944937","","Jeferson ","970.4",1,"08/29/2022"
"Fresh Beef Market ","5083715582","816 Concord St, Framingham, MA 01701, United States","","cowboybeefmarket@gmail.com","7747775727","","Cowboy","10,331.96",5,"08/29/2022"
"Gol Supermarket - Hyannis ","5083609962","55 Iyannough Rd, Hyannis, MA 02601-2060, United States","","golsupwrmarketfalmouth@gmail.com","5087715862","","Elson","7,264.3",3,"08/29/2022"
"Gol Supermarket - Falmouth","7747635891","141 Sandwich Rd, East Falmouth, MA 02536, United States","","inaldojunior@vegroupusa.com","","","Elson","7,332.41",3,"08/29/2022"
"GV Brazilian Store ","5084057826","308 Union St, Rockland, MA 02370-1805, United States","","gvbrazilianstore@hotmail.com","7818178948","","Neide ","1,880.35",1,"08/29/2022"
"Imperio Meat Market ","9784005725","394 Summer St, Fitchburg, MA 01420-5956, United States","","","","","Maico",0,"","08/29/2022"
"Intercontinental Neves ","7742121208","223 Barnstable Rd, Hyannis, MA 02601-2929, United States","","brancasencomendas@yahoo.com","5087717706","","Branca",0,"","08/29/2022"
"JC Supermarket ","6173891333","67 Chelsea St, Everett, MA 02149-3523, United States","","","","","Elaine ","6,400.18",4,"08/29/2022"
"JS Market - Peabody ","9789773332","111 Foster St, Peabody, MA 01960-5933, United States","","jandsmarket@gmail.com","","","Shirley ",0,"","08/29/2022"
"Latino Express ","6179449217","252 Main St, Everett, MA 01880-1829, United States","","latinoexpress@live.com","","","Elvia ",0,"","08/29/2022"
"Ligafrica Music ","4017251162","180 Mineral Spring Ave, Pawtucket, RI 02860-2811, United States","","ligafrica@ligafrica.com","","","Jack Pina ","2,291.81",2,"08/29/2022"
"Luau Brazilian Market ","9785599226","564 Washington St, Abington, MA 02333-1229, United States","","","9783321272","","Lessy, Claudia ","2,899.31",2,"08/29/2022"
"Master Cut Meat Market ","7745400778","175 Boston Post Rd E, Marlborough, MA 01752-3504, United States","","info@mastercutmm.com","5086304002","","Douglas, Gilcelia","5,304.08",3,"08/29/2022"
"MG Express ","5082393860","117 Concord St, Framingham, MA 01702, United States","","mgexpress2000@gmail.com","5084922020","","Luís Carlos Santos ",0,"","08/29/2022"
"Michelle’s Market ","9789770403","85 Main St, Peabody, MA 01960-5550, United States","","flaviowilker2@hotmail.com","","","Flavio ","2,132.66",2,"08/29/2022"
"Minas Imporio ","9788754156","457 Lawrence St, Lowell, MA 01852-3549, United States","","minasimporio@hotmail.com","9784416088","","Augusto, Pretinha ",0,"","08/29/2022"
"Minas Market - Worcester ","5083732272","35 Blackstone River Rd, Worcester, MA 01607-1379, United States","","","","","Alciene, Bete ",0,"","08/29/2022"
"Sweet Brazil - Framingham ","5083094997","151 Concord St, Framingham, MA 01702, United States","","","","","Monica",0,"","08/29/2022"
"Mineirão Market - Lynn ","7817809047","32 Market St, Lynn, MA 01901-1005, United States","","aperecidoramosrogerio@gmail.com","","","Kiki, Samuel, Elaine ","2,690.74",1,"08/29/2022"
"Mineirão Market - Marlborough ","5084855977","530 Boston Post Rd E, Marlborough, MA 01752-3624, United States","","juliocesarfv.br@gmail.com","","","Julio","11,462.73",7,"08/29/2022"
"Mineirão Market - Malden II","7812418865","841 Eastern Ave, Malden, MA 02148-5925, United States","","","","","Kiko ","8,788.27",4,"08/29/2022"
"Mineirão One Stop Market ","7812418865","57 Union Sq, Somerville, MA 02143-3032, United States","","jamille555@gmail.com","6176250022","","Kiko","4,230.41",2,"08/29/2022"
"Mundo Evangelico ","5084055683","726 Crescent St, Brockton, MA 02302-3343, United States","","","5088959449","","Marinete",0,"","08/29/2022"
"Nilo’s Market Quincy","6174810172","342 Washington St, Quincy, MA 02169-5620, United States","","","","","Altair ","5,986.2",2,"08/29/2022"
"North Star Distributor ","7745219801","294 State Rd, Vineyard Haven, MA 02568-5623, United States","","documentosdaslojas@gmail.com","5086275353","","Fogaça",0,"","08/29/2022"
"Norwood Golden Bull","5083698786","1066 Washington St, Norwood, MA 02062-4424, United States","","","","","Renata",0,"","08/29/2022"
"Nosso Sabor Brazilian Market ","5088161012","330 Pulaski Blvd, Bellingham, MA 02019-2043, United States","","","5089280184","","Eliete ",0,"","08/29/2022"
"Olinda’s Beauty Salon ","5085368404","773 Main St, Brockton, MA 02301-6024, United States","","omonteiro773@gmail.com","","","Olinda, Karina ",0,"","08/29/2022"
"Oliveira Deli Market Brighton","6179870191","243 Faneuil St, Brighton, MA 02135-1844, United States","","dudamari4@hotmail.com","","","Fernando","1,754.05",1,"08/29/2022"
"Oliveira Deli Market - Lowell","8575059977","279 Chelmsford St, Lowell, MA 01824-2343, United States","","","9784551724","","Silas e Kel","1,249.63",1,"08/29/2022"
"Ponto Um Market ","4014316413","243 Warren Ave, East Providence, RI 02914-4730, United States","","","","","Bianca",0,"","08/29/2022"
"Queiroz Meat Market ","6173522773","11 Suffolk St, Worcester, MA 01604-3718, United States","","","7744183184","","Bruna","2,439.97",1,"08/29/2022"
"Rei Da Carne Meat Market ","7814203547","1024 S Broadway, East Providence, RI 02914-4713, United States","","","4018086312","","Kel, Geraldo (gegê) ",0,"","08/29/2022"
"Seabras Food ","5086654195","208 Waverly St, Framingham, MA 01702, United States","","","","","Melvin",0,"","08/29/2022"
"Sky Braz Store ","6176233957","415c Medford St, Somerville, MA 02145-2702, United States","","skybraz@outlook.com","","","Fernando ","1,729.45",2,"08/29/2022"
"Sky Market & Butcher Shop","6179015372","9 Main St, Nashua, NH 03064-2716, United States","","skymarketshop@outlook.com","6034029327","","Ana",0,"","08/29/2022"
"Sol Brasil ","9785340887","1 Central St, Leominster, MA 01453-5716, United States","","","","","Cone ",0,"","08/29/2022"
"Somerville Cafe E Pastelaria ","6177644168","376 Mystic Ave, Somerville, MA 02145, United States","","","","","",0,"","08/29/2022"
"South Shore Market ","7815236116","256 Church St, Pembroke, MA 02359-1918, United States","","ssmarket256@gmail.com","","","Erminio, Luiz ","1,917.99",2,"08/29/2022"
"Terra Nossa Center Market ","7814213573","1501 Bedford St, Abington, MA 02351-1063, United States","","","7819822272","","Marquinhos e Euler ","3,312.89",2,"08/29/2022"
"Terra Nossa Convinience Store ","5085805652","1040 N Montello St, Brockton, MA 02301-1654, United States","","","","","Thais ",0,"","08/29/2022"
"Tesoro Supermarket ","5086312933","80 Hollis St, Framingham, MA 01702-8616, United States","","","5086261981","","Diego","1,223.2",1,"08/29/2022"
"Tri Market ","7743100712","258 Edgartown Rd, Vineyard Haven, MA 02568-5612, United States","","adilesdossantosjr@gmail.com","","","Adiles Jr ",0,"","08/29/2022"
"Uai Brasil ","5086122729","58 Sandwich St, Plymouth, MA 02360-3333, United States","","","5084468466","","Cláudio ",0,"","08/29/2022"
"União Meat Market ","6173526918","376 Main St, Medford, MA 02155-6156, United States","","","","","Irenildo","1,005.82",1,"08/29/2022"
"Via Latina Brazilian Store ","6176806464","573 Main St, Waltham, MA 02452-5527, United States","","","7818945014","","Raquel ",0,"","08/29/2022"
"Vitoria Brazilian Meat Market - Allston ","6179034367","192 Brighton Ave, Allston, MA 02134-2012, United States","","","","","Roberto ",0,"","08/29/2022"
"Vitoria Brazilian Meat Market - Lynn ","7812156909","100 Union St, Lynn, MA 01902-3602, United States","","","","","Roberto, Herberson ",0,"","08/29/2022"
"Vitoria Brazilian Meat Market - Peabody ","9785412030","150 Main St, Peabody, MA 01960-5640, United States","","","","","Roberto","3,206.62",3,"08/29/2022"
"Vitoria Brazilian Meat Market - Revere ","7816294094","152 Shirley Ave, Revere, MA 02151-3211, United States","","","","","Jocy ",0,"","08/29/2022"
"Vitoria International Meat Market ","2072547346","1720 Highway 501, Myrtle Beach, SC 29577-9750, United States","","gabrielbaldon09@gmail.com","8439459326","","Gabriel, Roberto",0,"","08/29/2022"
"Vitoria Meat Market - Everett ","6173814594","475 Ferry St, Everett, MA 02148-7851, United States","","","","","Roberto","2,282.52",1,"08/29/2022"
"Vitoria Meat Market - Malden ","8574082902","42 Broadway, Malden, MA 02148-6002, United States","","","","","Fernando, Gabi, Roberto ","5,646.28",4,"08/29/2022"
"Vitoria Meat Market - Quincy ","6174819643","51 Franklin St, Quincy, MA 02169-4947, United States","","","","","Alex, Maria Eduarda ",0,"","08/29/2022"
"Vitoria Meat Market - Hyannis ","5088274913","189 Falmouth Rd, Hyannis, MA 02601-2755, United States","","","","","","3,116.69",2,"08/29/2022"
"Water Street Meat Market ","5083810937","3 Water St, Milford, MA 01757-4105, United States","","waterstreetmeat@gmail.com","","","Lisa","4,762.9",4,"08/29/2022"
"Sky Market Brazilian Store - SC","","115 S Goose Creek Blvd, Goose Creek, SC 29445-3137, United States","","","","","",0,"","11/03/2022"
"Latinos Meat Market","19783270276","172 Revere St, Revere, MA 02151-4602, United States","","latinosmeatmarketofficial@gmail.com","7816294948","","",0,"","12/01/2022"
"Via Brazil Market Place","9784764918","111 Lafayette Rd, Salisbury, MA 01952-1514, United States","","daniel_gomes@comcast.net","9784764918","","",0,"","12/04/2022"
"Zeilanny Beauty","15085093701","259 Rivet St, New Bedford, MA 02744-1819, United States","","","","","","1,597.99",2,"12/23/2022"
"Thalita Nails ","9784132286","56 Heron Way, Leominster, MA 01453-1313, United States","","","","","",0,"","01/05/2023"
"Ferreira Market","3392017158","176 Middle St, East Weymouth, MA 02189-1307, United States","","","","","","2,029.65",1,"02/21/2023"
"Vitoria Meat Market Malden II","","302 Main St, Malden, MA 02149-5783, United States","","","","","",0,"","04/11/2023"
"Oliveira Market","","13 Jefferson St, Milford, Ma 06460-5702, United States","","","","","","1,590.25",2,"04/18/2023"
"Black Bull Meat Market","17743862510","128 Main St, Webster, MA 01570-2210, United States","","","","","",0,"","04/19/2023"
"Vitoria Meat Market - Taunton","18572379184","283 Somerset Ave, Taunton, MA 02764-1812, United States","","","","","","1,615.71",1,"05/16/2023"
"Fogaça","","Vineyard Haven, MA, United States","","","","","",0,"","05/18/2023"
"Mineirão Market - Peabody","19787173007","19 Central St, Peabody, MA 01960-0058, United States","","","","","","3,024",1,"06/15/2023"
"Mineirão Market - Peabody","19787173007","19 Central St, Peabody, MA 01960-0058, United States","","","","","","8,557.13",4,"06/16/2023"
"É Do Brasil","19783323878","228 Daniel Webster Hwy, Nashua, NH 03060-5537, United States","","","","","",0,"","07/24/2023"
"Bruna Queiroz","+16173522773","11 Suffolk St Worcester ","","queirozmeat@gmail.com","","","",0,"","07/25/2023"
"Lisa Carneiro","+15082940132","3 water street ","Milford Ma ","carneirolisa@gmail.com","","","",0,"","11/15/2022"
"Aroma Brazil","5082444878","2 Beach St, Milford, MA 01757-3457, United States","","","","","",0,"","08/03/2023"
"Monica Meat Market","+18575057702","504 Broadway Everett ma ","","monicameatmarket@gmail.com","","","",0,"","08/08/2023"
"Mineirão Market Framingham","","125 Howard St Framingham Ma 01702","","","","","","12,439.7",6,"08/29/2023"
"Motas Market","7744450274","157 Main Street Hudson Ma","","","","","",0,"","09/06/2023"
"Gol Supermarket Leominster","","1123 Central Street Leominster Ma","","","","","","1,746.02",2,"09/11/2023"
"Big boi meat market Worcester ","+17814201973","43 chandler street Worcester 01609","","elanny.salmeida@gmail.com","","","",0,"","09/12/2023"
"BRAZIL COFFEE SHOP","+15086744909","1414 PLEASANT ST ","","brazilcoffeeshop@yahoo.com","1","","","1,927.38",2,"09/22/2023"
"Mineirão Market Malden I","","138 Eastern Av Malden Ma","","","","","","7,210.43",4,"10/20/2023"
"Free Boi New Bedford","","1668 Acushnet Ave New Bedford","","","","","",0,"","10/30/2023"
"Oliveira Deli Market Framimgham","6177332410","847 Edgell Rd #7 Framingham 01701","","","6177332418","","","1,271.09",2,"11/13/2023"
"Pit Stop Store","+18573185545","201 main st Everett - MA","Store","pitstopstore434@gmail.com","","","",0,"","11/30/2023"
"Big Boi Market - Orlando-Fl","","4734 S Kirkman Rd Orlando-FL 32811","","","","","",0,"","12/20/2023"
"Brasil Remessa Hudson","+17742853605","241 MAIN ST. ST 3 - HUDSON / MA / 01749","","info_241@brasilremessa.com","","","","305.88",1,"12/20/2023"
"DF Grocery Dayana Santos Rodrigues","","26R  james  st Malden 02148-7437","","","","","",0,"","01/03/2024"
"Gol Supermarket - Sturbrige","","365 Main Street Stirbridge MA 01566","","","","","",0,"","01/15/2024"
"Latin Beauty Distributor ","","279 Monroy Street, Passaic, NJ","","","","","Fernando ",0,"","01/24/2024"
"Bruna Alvarenga","+16173522773","11 Suffolk st Worcester ","Ou leominster se preferir ","bruna031420@gmail.com","","","",0,"","02/07/2024"
"Mundial Laser Afiações","8573464646","20 Bicknell Dr. Unit B Mendon Ma 01756 ","","","","","",0,"","02/08/2024"
"Documentos Lojas","+17745219801","121 LIBERTY ST ","","documentosdaslojas@gmail.com","","","",0,"","09/17/2023"
"Imperio Brazil Grocery ","14752049875","128 Exchange St Chicopee MA 01013","","imperiobrgrocery@outlook.com","","","Jefferson e Camila ",0,"","02/12/2024"
"Sweet Brazil Market","","1032 Main Street Weymouth Ma 02190","","","","","","560.83",1,"02/19/2024"
"Imperio  Brazil","5083732044","675 Main Street Worcester Ma ","","","","","Isabel",0,"","02/21/2024"
"Marlboro Pharmacy","+15086806606","561 Boston Post Rd. E Suite 1 Marlborough","","marlboropwc@gmail.com","","","","1,811.72",5,"02/29/2024"
"Two Brothers Market","","884 Washington Street Norwood Ma","","","7813523348","","","1,385.13",2,"03/20/2024"
"Kitute Brasil Market","+17742446636","370 Clinton St","Woonsocket RI 02895","kitutebrasil@gmail.com","","","",0,"","03/26/2024"
"North Star","+17745219801","121 LIBERTY STREET BROCKTON ","","a5086275353@gmail.com","","","","2,479.37",2,"04/04/2024"
"Brazilian Meat Market - Haverhill ","8573263698","127 Winter Street, Haverhill ","","","","","Roberto","610.67",1,"05/01/2024"
"Marleide - Salão ","","200 east Main Street building 2A Marlborough ","","","","","",0,"","05/02/2024"
"Top Brazilian Meat Market","7744480009","186 Central St Milford Ma","","","","","","744.14",1,"05/16/2024"
"Vitoria Meat Market - Somerville","6179966942","577 Somerville Ave Somerville, Ma 02143","","","","","",0,"","06/09/2024"
"Vitoria Meat Market - East Boston","6175670287","353 Chelsea St East Boston, Ma 02128","","","","","",0,"","06/09/2024"
"Cintia Nails ","","Ashland ","","","","","",0,"","06/12/2024"
"BH Market","18573120414","105 Nichols Ave Watertown Ma 02472","","","","","",0,"","07/16/2024"
"JB SPORTS LLC ","+16179303044","6 R  HENSHAW ST","WOBURN, MA 01801","jalmarusa@gmail.com","","","","2,495",1,"01/29/2024"
"Local Meat Market","7745205641","206 East Main Street Milford Ma 01757","","","","","",0,"","08/14/2024"
"JB SPORTS LLC","+16179303044","6R HENSHAW ST","WOBURN  , MA 01801","flexibrace@gmail.com","","","","2,234.5",2,"08/21/2024"
"Vitoria Meat Market Worcester","","141 Central Street Worcester Ma 01609","","","","","","750.94",1,"08/21/2024"
"Rei Do Gado","17742851752","157 main st ","hudson MA","reidogadomarket@gmail.com","","","",0,"","09/24/2024"
"Rei do Gado Grocery","15085050333","157 Main St, Hudson, MA 01749","","","","","",0,"","09/24/2024"
"Karina","+17742252225","239 Broadway, Taunton Ma 02780","Brazil For You","karina.mazzuco@hotmail.com","","","",0,"","10/02/2024"
"Tiago","+18575056162","1037 Central Street","Big Mania Meat Market","bigmania1037@gmail.com","","","",0,"","10/15/2024"
"Jack Pina","+14017251162","180 Mineral Spring Ave","","ligafrica@ligafrica.com","","","",0,"","10/16/2024"
"Taste Brazil For You","17813528006","1001 Boston Providence Hwy","Norwood Ma 02062","","","","","1,928.69",1,"10/28/2024"
"Uniao Meat Market Marlboro","15085614710","630 Boston Post Rd East 01752","","","","","","1,726.53",1,"10/29/2024"
"Gesiel Batista","+17749468974","302 main st malden ","","gesielob86@gmail.com","","","",0,"","08/21/2024"
"Vitoria Meat Market - Plymouth ","7742834194","318 Court St  Plymouth-MA 02360","","","","","","1,722.55",3,"11/06/2024"
"Crown Meat Market","+17744420743","131 Gold Star Blvd, Worcester 01606","","crownm2021@gmail.com","","","","1,659.3",3,"11/06/2024"
"WASHINGTON SOUSA","+17742851752","157 MAIN ST HUDSON MA","REI DO GADO","reidogadomarket@gmail.com","","","",0,"","11/07/2024"
"Prime Meat Market ","18578881847","4-6 White Street Ludlow, MA 01056","","","","","Paula",0,"","11/14/2024"
"Gol Supermarket - Fall River","15083609962","Fall River ","441 Tucker Street Fall River Ma ","","","","","5,541.69",2,"11/14/2024"
"Pastelaria Vitoria","","192 Brodway Somerville Ma","","","","","",0,"","11/20/2024"
"Vitoria Market Lynn II","","253 Western Ave Lynn Ma","","","","","",0,"","11/20/2024"
"Cape Meat Market","","1313 route 28 South Yarmouth 02664","","","","","","2,277.73",2,"11/29/2024"
"Ludienny Alves","+18572877155","189 Falmouth RD, Hyannis ","Vitória meat market ","diennyalves012@gmail.com","","","",0,"","12/02/2024"
"BRZ FOOD MANAGEMENT","+18572379184","189 Falmouth rd Hyannis ","","brzfoodcapecod@gmail.com","","","",0,"","12/04/2024"
"Karina Raposo","+17742252225","529 Washington st","","karina.mazzuco@hotmail.com","","","",0,"","12/12/2024"
"Marketpluss Meat Market inc","+13392427253","649 main st Falmouth ","Loja ","alexsandro.usaplaster@gmail.com","1","","",0,"","01/23/2025"
"Marketpluss J & L Meat Market","113392427253","426 State Rd Vineyard Ma 02568","(Delivery) 12 Macon St Haverhill Ma","","","","",0,"","01/23/2025"
"Brazilian Deli Meat Market","","17 W Main Street Northborough  Ma 01532","","","","","",0,"","02/05/2025"
"Real Brazil Restaurant Market","115084681533","17 Tremont St. Taunton MA 02780","","","","","",0,"","02/10/2025"
"Paulo Bruno Aguiar","+17745247107","318 court st","Loja B","vitoriameatmarket.plymouth@gmail.com","","","",0,"","02/13/2025"
"Amaral’s Market - Diego","15086312933","488 Belleville Ave New Bedford Ma02746","","","","","",0,"","02/26/2025"
"Nilo’s Market Holbrook","16173900570","424 N Franklin Street Holbrook Ma ","","","","","",0,"","04/23/2025"
"Marcia’s Hair Salon","18573332866","481 Central st Saugus ma","3 Limewoods Dr Saugus ma","marciaaraujoboston@gmail.com","","","",0,"","04/25/2025"
"Golden Imports & Exports","7814206691","135 Hancock St Everett Ma 02149","JC Supermarket","","","","",0,"","05/07/2025"
"Texas Meat Market","5088407968","6 Chestnut St Ashland Ma 01721","","","","","","2,253.57",2,"05/21/2025"
"Vitoria Meat MARKET MEDFORD","+17818744525","217 MIDDLESEX AVE MEDFORD MA 02155","","vitoriameatmarket1@gmail.com","","","",0,"","06/17/2025"
"Monica Rodrigues","+18575057702","504 Broadway","","mrodrigues0796@gmail.com","","","",0,"","06/17/2025"
"Vitoria Meat Market - Burlington","17819291909","232 Cambridge St Burlington Ma","","","","","","1,456.43",2,"06/19/2025"
"Daniela ","+55555555555","estrada xx","123","daniela.figueiredo@kyte.com.br","","","",0,"","05/24/2024"
"Milton Vieira ","15086545250","22 E Park Rd Sterling na 01564","","","15086545250","","",0,"","07/24/2025"
"Dubom Supermarket","15085616332","855 Worcester Rd Framimgham Ma 01701","","","","","","3,874.22",3,"08/04/2025"
"Mercado e Açougue Ideal","15087371116","215 W Main Street Hyannis Ma","","","","","","1,881.87",1,"08/12/2025"
"Two Brothers Meat Market Leominster","19787518191","8 Lancaster Street Leomimster Ma 01453","","","","","",0,"","08/25/2025"
"Cowboy Supermarket II","15086842054","24 John Fitch Hwy Fitchburg Ma 01420","","","","","",0,"","09/04/2025"
"flavio Candido silva","+15082154374","85 main st Peabody ","Michelles market ","flaviowilker2@hotmail.com","","","",0,"","10/04/2025"
"Mini Market La Republica","","19 Amélia Dr. Nuntucket Ma 02554","","","","","",0,"","10/08/2025"
"Local Meat market","+17745708751","206 East Main St Milford MA","Unidade 5","localmeatmarket23@gmail.com","","","",0,"","10/10/2025"
"Da Silva Meat Market ","15083876006","725 Washington Street Stougton Ma","","","","","","2,526.25",2,"10/15/2025"
"Brazil For You - Taunton","","239 Broadway Taunton Ma 02780","","","","","","4,116.62",1,"10/16/2025"
"Queiroz Meat Market II","6173522743","352 West Boylston Street Worcester Ma","59 heron way leominster-ma (Delivery)","","","","",0,"","11/04/2025"
"Pingo Doce Meat Market","15085670060","407 South Main Street Fall River Ma 02721","","","","","","4,303.93",2,"11/19/2025"
"Brazil For You Norwood","17813418937","1001 Boston providence highway, Norwood.MA ","Taste from Brazil for you inc","famaral888@gmail.com","","","",0,"","12/01/2025"
"Brazilian Deli Meat Market III","17818732276","616 Main Street Tewksbury Ma 01876","","","","","","3,095.04",1,"12/09/2025"
"Alfredo Oliveira","+556174164547","232 Cambridge Street, Burlington Massachusetts ","Nilmara ","alfredo.nilmara@gmail.com","","","",0,"","12/19/2025"
"Minas Brazil Meat Market - Luciano/Fabio","13212873643","419 Amherst st Nashua NH","","","","","","532.86",1,"02/05/2026"
"Du Evangelista","+15086275353","Brockton ","","duevangelista9@gmail.com","","","",0,"","03/11/2026"
"Loja da Fogaça Vineyard Grocery","","294 State Rd Vineyard Haven, Ma 02568","Delivery 121 Liberty St Brocton, Ma","","","","","2,998.5",1,"03/11/2026"
"Oliveira Deli Lowell ","+17812995817","279 Chelmsford st, Lowell ","","zamarioliju@gmail.com","","","","793.59",1,"03/27/2026"
"Juliana ","+553512099243","175 Boston post road east ","Master cut ","julianagoodoy97@gmail.com","","","",0,"","03/28/2026"
"Pingo Doce Market","","1856 Pleasant Street Fall River, Ma 02723","","","","","","2,487.39",1,"04/15/2026"
